ota/3017.txt	The history and misfortunes of the famous Moll Flanders, etc.	Defoe, Daniel, 1661?-1731	1721	English	CC BY-SA	
ota/3242.txt	The history of the adventures of Joseph Andrews and his friend Mr. Abraham Adams	Fielding, Henry, 1707-1754	1742	English	CC BY-SA	
ota/3018.txt	Memoirs of a woman of pleasure (Fanny Hill)	Cleland, John, 1709-1789	1748	English	CC BY-SA	
ota/3168.txt	The History of Tom Jones, a Foundling	Fielding, Henry, 1707-1754	1749	English	CC BY-SA	
ota/3600.txt	The history of Tom Jones: a foundling. In three volumes. ... By Henry Fielding, Esq;. [pt.1]	Fielding, Henry, 1707-1754.	1749	English	CC BY-SA	
ota/4543.txt	The female Quixote: or, the adventures of Arabella. In two volumes. ... [pt.2]	Lennox, Charlotte, ca. 1729-1804.	1752	English	CC BY-SA	
ota/4542.txt	The female Quixote: or, the adventures of Arabella. In two volumes. ... [pt.1]	Lennox, Charlotte, ca. 1729-1804.	1752	English	CC BY-SA	
ota/3528.txt	The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ... [pt.7]	Richardson, Samuel, 1689-1761.	1753	English	CC BY-SA	
ota/3527.txt	The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ... [pt.6]	Richardson, Samuel, 1689-1761.	1753	English	CC BY-SA	
ota/3526.txt	The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ... [pt.5]	Richardson, Samuel, 1689-1761.	1753	English	CC BY-SA	
ota/3525.txt	The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ... [pt.4]	Richardson, Samuel, 1689-1761.	1753	English	CC BY-SA	
ota/3524.txt	The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ... [pt.3]	Richardson, Samuel, 1689-1761.	1753	English	CC BY-SA	
ota/3523.txt	The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ... [pt.2]	Richardson, Samuel, 1689-1761.	1753	English	CC BY-SA	
ota/3522.txt	The history of Sir Charles Grandison: In a series of letters published from the originals, by the editor of Pamela and Clarissa. In seven volumes. ... [pt.1]	Richardson, Samuel, 1689-1761.	1753	English	CC BY-SA	
ota/4477.txt	Almoran and Hamet: an oriental tale. In two volumes. ... [pt.2]	Hawkesworth, John, 1715?-1773.	1761	English	CC BY-SA	
ota/4476.txt	Almoran and Hamet: an oriental tale. In two volumes. ... [pt.1]	Hawkesworth, John, 1715?-1773.	1761	English	CC BY-SA	
ota/4446.txt	Sophia: By Mrs. Charlotte Lennox. In two volumes. ... [pt.2]	Lennox, Charlotte, ca. 1729-1804.	1762	English	CC BY-SA	
ota/4445.txt	Sophia: By Mrs. Charlotte Lennox. In two volumes. ... [pt.1]	Lennox, Charlotte, ca. 1729-1804.	1762	English	CC BY-SA	
